driverId,week,hours-logged,miles-logged
35,22,69,3000
48,29,61,1600
77,48,53,3600
96,50,70,3600
50,31,53,500
81,20,64,4000
35,32,53,1000
77,24,61,3200
90,11,69,600
84,19,57,1500
41,2,66,2600
21,41,67,3500
36,2,63,300
100,6,74,1000
34,28,78,3800
98,2,65,800
10,7,58,3400
58,10,57,500
108,50,75,2900
92,11,66,3700
46,48,73,3200
43,48,67,1000
101,29,61,3400
38,8,56,100
73,5,77,3700
41,18,67,100
79,40,69,1100
92,21,80,800
68,52,66,700
68,18,72,1600
95,24,77,600
63,8,78,2900
58,22,77,100
25,19,51,1600
48,50,54,3300
85,17,73,2500
88,11,69,2100
58,22,62,2100
36,42,75,1800
38,45,79,3100
107,3,65,3100
107,41,61,300
100,8,62,3900
40,40,77,1000
95,25,78,1900
33,18,65,1400
19,1,56,500
68,31,60,3500
46,52,79,3600
51,15,61,2200
11,40,61,3800
93,37,59,1000
52,29,76,500
41,29,67,1700
76,3,55,2600
105,32,64,3100
55,44,71,0
25,43,58,3700
71,20,55,400
78,1,66,3000
10,9,56,3600
47,32,64,1000
45,40,56,2900
98,45,60,1800
109,11,67,1700
44,1,74,1000
68,52,77,3700
54,51,52,3900
76,50,62,3200
84,27,74,800
60,52,52,1900
14,15,61,3300
17,31,73,2400
108,35,61,400
76,2,76,1900
82,11,54,3800
65,10,52,2700
10,48,53,1400
99,21,56,1100
42,33,60,3400
49,26,76,3300
34,24,57,2200
24,31,76,2800
38,1,56,2600
85,11,79,1500
69,38,80,1600
78,3,74,3600
41,6,74,0
69,24,51,1900
39,45,60,3500
25,19,71,1400
46,19,77,2200
55,23,72,3700
21,50,52,1400
62,23,61,3000
80,8,65,2100
79,19,75,1300
21,43,65,0
78,9,50,4000
48,33,58,4000
85,29,76,2700
60,41,53,2200
83,31,77,400
61,32,64,3900
70,2,50,500
36,38,65,3900
45,10,70,3000
67,7,63,1600
13,8,71,600
23,43,76,900
12,16,66,3600
34,36,77,3900
84,22,55,1200
15,12,73,2600
81,52,50,1500
104,15,65,300
16,42,71,2400
85,20,74,3200
83,49,77,1100
108,28,67,2300
22,8,60,2600
14,42,55,500
44,13,67,2100
103,2,52,3500
52,52,59,3400
23,32,61,4000
17,28,60,3000
11,45,52,2800
23,24,75,2700
52,10,65,2000
65,3,51,100
44,28,72,3700
91,33,79,2600
99,34,60,3500
102,6,60,2800
28,1,68,200
77,23,80,2600
